iter	Logloss
0	0.6876500931
1	0.6773808367
2	0.6718470021
3	0.6654903747
4	0.6586265037
5	0.6535057045
6	0.6486773662
7	0.6444074464
8	0.6369124766
9	0.6299962965
10	0.625805669
11	0.6194895742
12	0.612150235
13	0.6058724564
14	0.599897274
15	0.5946451338
16	0.5889087273
17	0.5850800964
18	0.5796862224
19	0.5754811538
20	0.5695435222
21	0.5634116248
22	0.5595811569
23	0.5537624998
24	0.5508556784
25	0.5475336311
26	0.5432156754
27	0.5388428773
28	0.5350956347
29	0.5304639476
30	0.5261639131
31	0.5234460152
32	0.5201423955
33	0.5176745917
34	0.513211248
35	0.5099187663
36	0.5058405066
37	0.5018252389
38	0.4997481151
39	0.4970428708
40	0.4933626933
41	0.4905863729
42	0.4882851369
43	0.4851850643
44	0.4821760239
45	0.480079854
46	0.47712222
47	0.4754836051
48	0.4724649947
49	0.4703371644
50	0.4681456089
51	0.4655662791
52	0.4620531435
53	0.458815962
54	0.4565770314
55	0.4548936995
56	0.4534638742
57	0.4510806053
58	0.4489455775
59	0.4464401807
60	0.444191819
61	0.4415908404
62	0.4395364294
63	0.4372257348
64	0.435573452
65	0.4331124187
66	0.4311933017
67	0.429166849
68	0.4267994158
69	0.4246637952
70	0.4224959895
71	0.4203024051
72	0.4189708344
73	0.4171875518
74	0.4150531388
75	0.4133924307
76	0.4122610178
77	0.4106144041
78	0.4082898828
79	0.4066750355
80	0.4042570121
81	0.4029002135
82	0.4015160124
83	0.4006833111
84	0.3986207934
85	0.3974286512
86	0.3949198331
87	0.3938928113
88	0.3917485274
89	0.3897651434
90	0.388573847
91	0.3869848973
92	0.3860248872
93	0.3848679196
94	0.3830199623
95	0.3813586481
96	0.37942206
97	0.378341909
98	0.3765695376
99	0.3753973972
100	0.3745718975
101	0.3736183619
102	0.3722785192
103	0.3714386422
104	0.3697354072
105	0.3693117408
106	0.3683311205
107	0.3672746137
108	0.3662320279
109	0.3653524013
110	0.363746012
111	0.3626615506
112	0.3615942181
113	0.3606358781
114	0.3600622824
115	0.3585844042
116	0.3575551313
117	0.3564432744
118	0.3558758665
119	0.3549491793
120	0.3541572771
121	0.3526806038
122	0.3512753339
123	0.3504352747
124	0.3485987492
125	0.3469542797
126	0.3455085804
127	0.3447647112
128	0.3435616373
129	0.342068752
130	0.3410978963
131	0.3399125343
132	0.3393260642
133	0.3387389732
134	0.3375888282
135	0.335810501
136	0.3348857741
137	0.3342960632
138	0.333520645
139	0.3328581026
140	0.3319307775
141	0.3313941017
142	0.3302773506
143	0.329675923
144	0.3288657227
145	0.3278835128
146	0.3267073927
147	0.3260712892
148	0.3248205352
149	0.3241406997
150	0.3237548628
151	0.3228722535
152	0.3221724854
153	0.3217220501
154	0.3203708364
155	0.3191430588
156	0.318634847
157	0.3182364582
158	0.317513324
159	0.3168565754
160	0.3161928905
161	0.3152266839
162	0.3142599481
163	0.3132698462
164	0.3119359805
165	0.3115888226
166	0.3109740883
167	0.3099746337
168	0.3088824143
169	0.3080959677
170	0.3067452659
171	0.3061141414
172	0.3056830089
173	0.3049795748
174	0.3042712318
175	0.3036044444
176	0.3030620377
177	0.3026916781
178	0.3016963057
179	0.3011860909
180	0.3005851685
181	0.3000807686
182	0.299543114
183	0.2988981691
184	0.2982328118
185	0.297630666
186	0.2971535695
187	0.2965030131
188	0.2958188641
189	0.2948339037
190	0.2943745251
191	0.2936404973
192	0.2932745962
193	0.2927967179
194	0.2918444172
195	0.2912434726
196	0.2908234389
197	0.2900530846
198	0.2894392792
199	0.2886559426
