iter	Passed	Remaining
0	147	29405
1	149	14824
2	151	9948
3	153	7512
4	155	6048
5	156	5063
6	158	4362
7	159	3837
8	161	3430
9	163	3106
10	165	2841
11	166	2616
12	168	2429
13	170	2266
14	172	2125
15	173	2000
16	175	1891
17	177	1794
18	179	1706
19	181	1629
20	182	1557
21	184	1491
22	186	1432
23	187	1376
24	189	1325
25	191	1279
26	192	1236
27	194	1196
28	196	1158
29	198	1123
30	200	1091
31	201	1059
32	203	1029
33	205	1002
34	207	975
35	208	950
36	210	925
37	211	903
38	213	882
39	215	862
40	217	842
41	218	822
42	220	805
43	222	787
44	223	770
45	225	754
46	227	739
47	228	724
48	230	710
49	232	696
50	233	682
51	235	668
52	236	655
53	237	642
54	238	629
55	240	618
56	242	607
57	243	596
58	245	586
59	247	576
60	249	567
61	250	558
62	252	549
63	254	540
64	256	532
65	258	523
66	259	515
67	261	507
68	262	499
69	264	491
70	266	484
71	268	476
72	269	469
73	271	462
74	273	455
75	274	448
76	276	442
77	278	435
78	280	429
79	282	423
80	283	417
81	285	411
82	287	405
83	288	398
84	290	393
85	292	387
86	294	381
87	296	376
88	297	371
89	299	365
90	300	360
91	302	355
92	304	350
93	305	344
94	307	339
95	309	335
96	310	330
97	312	325
98	314	320
99	315	315
100	317	311
101	319	306
102	320	302
103	322	297
104	323	293
105	325	288
106	327	284
107	328	280
108	330	275
109	332	271
110	333	267
111	335	263
112	337	259
113	338	255
114	340	251
115	342	247
116	343	243
117	345	240
118	347	236
119	348	232
120	350	228
121	351	224
122	353	220
123	354	217
124	356	213
125	357	210
126	359	206
127	361	203
128	362	199
129	364	196
130	365	192
131	367	189
132	368	185
133	370	182
134	372	179
135	373	175
136	375	172
137	377	169
138	378	166
139	380	163
140	382	159
141	383	156
142	385	153
143	387	150
144	389	147
145	390	144
146	392	141
147	393	138
148	395	135
149	397	132
150	399	129
151	400	126
152	402	123
153	403	120
154	405	117
155	407	114
156	408	111
157	410	109
158	412	106
159	413	103
160	415	100
161	417	97
162	419	95
163	420	92
164	422	89
165	423	86
166	425	84
167	427	81
168	428	78
169	430	75
170	432	73
171	433	70
172	435	67
173	437	65
174	438	62
175	440	60
176	442	57
177	443	54
178	445	52
179	447	49
180	448	47
181	450	44
182	452	42
183	453	39
184	455	36
185	457	34
186	458	31
187	460	29
188	462	26
189	463	24
190	465	21
191	467	19
192	468	17
193	470	14
194	472	12
195	473	9
196	475	7
197	477	4
198	479	2
199	480	0
